,GDPC1,gdp_percent_change,value,inflation_percent_change,overall_rate,men_rate,women_rate,men_16_17_rate,women_16_17_rate,men_16_19_rate,women_16_19_rate,men_18_19_rate,women_18_19_rate,men_16_24_rate,women_16_24_rate,men_20_24_rate,women_20_24_rate,men_25plus_rate,women_25plus_rate,men_25_34_rate,women_25_34_rate,men_25_54_rate,women_25_54_rate,men_35_44_rate,women_35_44_rate,men_45_54_rate,women_45_54_rate,men_55plus_rate,unemployment_percent_change,Slope,LongTermRate,ZeroCouponYield1Y,ZeroCouponYield2Y,ZeroCouponYield3Y,ZeroCouponYield4Y,ZeroCouponYield5Y,ZeroCouponYield6Y,ZeroCouponYield7Y,ZeroCouponYield8Y,ZeroCouponYield9Y,ZeroCouponYield10Y,InstantaneousForwardRate1Y,InstantaneousForwardRate2Y,InstantaneousForwardRate3Y,InstantaneousForwardRate4Y,InstantaneousForwardRate5Y,InstantaneousForwardRate6Y,InstantaneousForwardRate7Y,InstantaneousForwardRate8Y,InstantaneousForwardRate9Y,InstantaneousForwardRate10Y
1961-06-30,3598.508333333333,0.006360504335948924,29.84,0.0,6.9,6.5,7.6,17.6,18.0,16.8,16.3,16.7,15.7,13.5,12.7,11.1,9.7,5.3,6.4,6.0,7.5,5.3,6.7,4.8,7.1,5.1,5.6,5.6,-0.1999999999999993,,,,,,,,,,,,,,,,,,,,,,
1961-07-31,3621.252,0.006320304014858058,29.92,0.002680965147453085,7.0,6.6,7.7,18.5,19.7,16.9,17.7,15.4,16.2,13.4,13.4,11.0,9.9,5.5,6.2,6.1,7.7,5.2,6.6,4.6,6.4,5.0,5.9,6.3,0.09999999999999964,0.5513230766023556,0.024503661714501357,-0.044619726978167074,-0.02771976729117931,-0.013684454796263013,-0.004385994212967703,0.0015684676937726127,0.005562816069094811,0.008383697661028311,,,0.006081360290262516,-0.027437321357433264,0.00010430189092391906,0.01735608115397058,0.022662434781939966,0.02404171943736033,0.024389407231601545,0.024472719795372022,,,0.022495450597103783
1961-08-31,3644.931,0.006538898701333062,29.94,0.0006684491978610207,6.6,6.4,7.0,18.2,19.5,16.6,17.6,15.1,16.5,13.2,12.7,10.8,8.7,5.3,5.6,5.7,7.0,5.0,6.1,4.8,6.3,4.4,5.0,6.3,-0.40000000000000036,-0.12964402872154135,0.03597557703364784,0.0561927173065877,0.039727767409668324,0.037046358555282266,0.036491815507495584,0.03633462402528531,0.03626283425644017,0.036215088922624705,,,0.026222626603163546,0.025082385828827825,0.030353223475174884,0.03430094686870322,0.03555196900883639,0.03588153322449239,0.03595377982383585,0.03597077756016542,,,0.029484728533734073
1961-09-30,3668.61,0.006496419273780418,29.98,0.0013360053440214514,6.7,6.3,7.3,19.6,19.8,17.4,18.7,15.1,18.0,12.5,13.9,9.5,10.0,5.1,5.7,5.3,7.2,4.8,6.1,4.5,6.4,4.6,5.0,6.3,0.10000000000000053,-0.012069490021766938,-0.027795728236858164,0.013839986674005544,0.007181708056493763,-0.001981831479911711,-0.008252585936803114,-0.012325407522144616,-0.015053914942518731,-0.016980447846039692,,,-0.012317921179720193,0.016618944946825254,-0.00996311071076239,-0.02214676035963703,-0.02618988500274977,-0.027371568013041858,-0.02768347443011132,-0.027765962672910982,,,-0.025164179617659155
1961-10-31,3692.289,0.006454488212156662,29.98,0.0,6.5,6.1,7.2,18.6,18.6,17.3,16.5,16.1,15.3,12.9,12.7,10.1,9.6,4.8,5.8,5.5,7.7,4.7,6.2,4.2,6.6,4.4,4.8,5.7,-0.20000000000000018,-0.04983580972956081,-0.07621237983339835,-0.0263757099270433,-0.02730545023935793,-0.025986789364126572,-0.02547488223284311,-0.026786740564969436,-0.02938123635224177,-0.032576153287554366,,,-0.02202548988513442,-0.025668242074744052,-0.026431511110288408,-0.022425519706332997,-0.027070347592333288,-0.036438563928214984,-0.046300070612541044,-0.05472108533893849,,,-0.034693781925004386
1961-11-30,3714.241666666667,0.0059455439882052374,29.98,0.0,6.1,5.8,6.6,18.7,19.3,16.3,15.7,14.4,13.9,12.1,11.7,9.4,8.5,4.8,5.3,5.3,7.5,4.5,5.8,3.9,5.6,4.4,4.6,5.3,-0.40000000000000036,-1.1126414228613701,-0.4020265404603872,0.00755213230153573,-0.007359649397046031,-0.0036489275886564254,0.0027673610391227843,0.007319703809347988,0.008761633332492469,0.007040139064475426,,,0.005504557242515418,-0.024349673711015152,-0.009258798929652534,0.01314068555562553,0.02420197908475341,0.021726492146596943,0.007721042915637799,-0.014639697326727652,,,0.008596078624644399
1961-12-31,3736.1943333333334,0.0059104034246559856,30.01,0.0010006671114075605,6.0,5.7,6.4,19.0,15.2,17.2,12.8,15.9,11.2,12.6,10.9,9.6,9.4,4.5,5.3,4.8,6.3,4.3,5.7,3.9,6.2,4.2,4.7,5.3,-0.09999999999999964,13.293476245947295,-0.9533000401934713,0.04906868812399412,0.035949854192345754,0.032482902807873026,0.031197550111056405,0.029221485988552898,0.025445108921080095,0.019513381613325942,,,0.01809533520054285,0.028898601552655556,0.0249679732214807,0.028142934900802663,0.026375179048689024,0.016364047795908165,-0.0023945865464797267,-0.029338982610277786,,,-0.0018171405800190277
1962-01-31,3758.147,0.005875675810224967,30.04,0.0009996667777407708,5.8,5.4,6.7,16.5,18.2,16.0,16.4,15.8,14.3,11.8,12.3,9.1,9.2,4.2,5.3,4.5,7.3,4.0,5.7,3.8,5.7,3.7,4.5,4.9,-0.20000000000000018,-1.0853483920361064,25.730747628158152,0.01886838459214002,0.02312827861889355,0.0162377384047363,0.008164289612067499,0.002527848126050003,0.000521212074664934,0.002394148817827846,,,0.00062344219612398,0.03367688230122656,0.016415239092721245,-0.005858563164732322,-0.017713795647032793,-0.0158139115340572,0.00016150688332716712,0.02994946262500764,,,-0.0020781916166944248
1962-02-28,3769.4809999999998,0.0030158479697572904,30.11,0.0023302263648468102,5.5,5.2,6.2,16.9,20.1,16.0,15.9,15.4,13.9,11.6,11.5,8.7,8.0,4.0,4.8,4.2,6.1,4.0,5.2,3.7,5.1,4.0,4.7,4.3,-0.2999999999999998,5.416318780887255,0.4176868873569566,-0.01092649414857283,-0.007391869201734069,-0.015357536344825617,-0.01986661899669462,-0.019469311726897254,-0.015158334990712952,-0.008067292972439688,,,-0.011702365948643378,0.008488875777363347,-0.019603644862551506,-0.034070300236241136,-0.027092055242769808,-0.007249505822765845,0.01959371822715683,0.04993660717392734,,,0.010420103745373943
1962-03-31,3780.815,0.0030067799784638805,30.17,0.0019926934573231136,5.6,5.2,6.3,16.0,18.3,14.8,15.5,14.3,13.9,11.2,12.3,8.8,9.6,4.1,4.7,4.6,6.6,4.1,5.2,3.7,5.1,4.0,4.2,4.3,0.09999999999999964,0.14696380556240318,0.029396671271788355,-0.06469413160336857,-0.07649064957455176,-0.06561859193438146,-0.0521503633592878,-0.0403256179216015,-0.030704168133043774,-0.023013712767192662,,,-0.022708496264102873,-0.09872334139774075,-0.06678237680892884,-0.028658625576158725,-0.00417374666765169,0.010194776065443945,0.01843098492654982,0.023106892845756954,,,0.020253531961341276
