DATE,gdp_percent_change,inflation_percent_change,unemployment_percent_change,Slope,LongTermRate,ZeroCouponYield1Y,ZeroCouponYield2Y,ZeroCouponYield3Y,ZeroCouponYield4Y,ZeroCouponYield5Y,ZeroCouponYield6Y,ZeroCouponYield7Y,ZeroCouponYield10Y,InstantaneousForwardRate1Y,InstantaneousForwardRate2Y,InstantaneousForwardRate3Y,InstantaneousForwardRate4Y,InstantaneousForwardRate5Y,InstantaneousForwardRate6Y,InstantaneousForwardRate7Y,InstantaneousForwardRate10Y,Recession
1961-06-30,0.636050434,0,-2.816901408,-1.268220842,4.002756883,2.974684615,3.383561538,3.580030769,3.684630769,3.748146154,3.790553846,3.820876923,4.103747368,3.533592308,3.934584615,3.993169231,4.001369231,4.002561538,4.002730769,4.002761538,4.70243454,0
1961-07-31,0.632030401,0.268096515,1.449275362,-1.967420259,4.100839083,2.841955,3.28977,3.53104,3.66847,3.754025,3.81164,3.85291,4.082465172,3.43664,3.934995,4.062475,4.09205,4.09879,4.100355,4.10072,4.779937267,0
1961-08-31,0.65388987,0.06684492,-5.714285714,-1.71235597,4.248369136,3.001652174,3.420465217,3.661852174,3.80233913,3.890426087,3.94986087,3.992443478,4.178432941,3.52283913,4.054434783,4.201821739,4.237530435,4.24586087,4.247778261,4.248226087,4.907291412,0
1961-09-30,0.649641927,0.133600534,1.515151515,-1.691688707,4.130282622,3.043195,3.44503,3.654595,3.77096,3.842475,3.8904,3.92465,4.162176609,3.581385,4.01404,4.108765,4.12655,4.129645,4.130185,4.13027,4.808993816,0
1961-10-31,0.645448821,0,-2.985074627,-1.607382031,3.815503954,2.962928571,3.350961905,3.55962381,3.674895238,3.739547619,3.776095238,3.7968,4.091516972,3.489457143,3.907942857,4.01662381,4.014842857,3.979166667,3.938957143,3.904257143,4.674508572,0
1961-11-30,0.594554399,0,-6.153846154,0.181057799,2.281570099,2.985305,3.3263,3.546635,3.685065,3.76692,3.80918,3.82353,4.093831539,3.40449,3.87176,4.069405,4.11201,4.06562,3.96937,3.8471,4.700776577,0
1961-12-31,0.591040342,0.100066711,-1.639344262,2.587945349,0.106549232,3.13179,3.44588,3.66184,3.80003,3.876995,3.906105,3.89814,4.174090385,3.502875,3.96843,4.18393,4.220465,4.13215,3.959865,3.73423,4.720453262,0
1962-01-31,0.587567581,0.099966678,-3.333333333,-0.220876974,2.848140629,3.190881818,3.525577273,3.7213,3.831054545,3.886795455,3.908140909,3.907472727,4.20633316,3.620840909,4.033572727,4.159418182,4.145704545,4.066804545,3.960504545,3.846068182,4.725177765,0
1962-02-28,0.301584797,0.233022636,-5.172413793,-1.417217078,4.037771622,3.156016667,3.499516667,3.66415,3.754944444,3.811122222,3.8489,3.87595,4.157789707,3.651577778,3.9545,4.017705556,4.033388889,4.037322222,4.038105556,4.038127778,4.733366489,0
1962-03-31,0.300677998,0.199269346,1.818181818,-1.625496693,4.156468668,2.951840909,3.231836364,3.423713636,3.559122727,3.657436364,3.730722727,3.78675,4.001147747,3.291081818,3.690409091,3.902563636,4.016554545,4.078481818,4.112531818,4.131436364,4.736600399,0
1962-04-30,0.299776635,0.132582035,0,-1.577090201,4.109395767,2.89887,3.1534,3.335065,3.467975,3.56743,3.643445,3.70266,3.93901515,3.201165,3.579575,3.79752,3.92463,3.99941,4.043665,4.070005,4.667485714,0
1962-05-31,0.409855555,0.099304866,-1.785714286,-1.617998299,4.064451258,2.885459091,3.170981818,3.363063636,3.496590909,3.592359091,3.663077273,3.716718182,3.957233191,3.234795455,3.633745455,3.838368182,3.9446,4.000340909,4.029890909,4.045677273,4.673034191,0
1962-06-30,0.408182596,-0.099206349,0,-1.66615715,4.306732487,2.903285714,3.146542857,3.340185714,3.489704762,3.60547619,3.6963,3.768642857,3.948717594,3.167642857,3.584014286,3.849766667,4.013638095,4.115609524,4.18032381,4.222166667,4.761548042,0
1962-07-31,0.406523239,0.033101622,-1.818181818,-1.200266225,4.168271175,3.112790476,3.379228571,3.569304762,3.695614286,3.781666667,3.842752381,3.887861905,4.099656105,3.397128571,3.840028571,4.030366667,4.107380952,4.139980952,4.154580952,4.16147619,4.802890778,0
1962-08-31,0.109800624,0.198544011,5.555555556,-1.538481561,4.378182338,3.012156522,3.218034783,3.402978261,3.554834783,3.675595652,3.770930435,3.846547826,3.991149902,3.21633913,3.617165217,3.909134783,4.096734783,4.210817391,4.278504348,4.318369565,4.835924625,0
1962-09-30,0.109680194,0.462351387,-1.754385965,-1.451794679,4.338947006,2.911605263,3.143226316,3.370552632,3.550594737,3.685468421,3.785905263,3.861726316,3.980067015,3.100978947,3.631426316,3.985815789,4.173889474,4.264578947,4.306147368,4.324694737,4.876705647,0
1962-10-31,0.109560029,-0.131492439,-3.571428571,-1.703128559,4.399572301,2.839118182,3.061977273,3.275422727,3.454531818,3.597740909,3.7105,3.799313636,3.91507268,3.045777273,3.513318182,3.868418182,4.096663636,4.232127273,4.308954545,4.351240909,4.841505527,0
1962-11-30,0.364030142,0,5.555555556,-1.649558973,4.36978506,2.926752632,3.142873684,3.330889474,3.484389474,3.607063158,3.704857895,3.783342105,3.941764593,3.148831579,3.552247368,3.842626316,4.032947368,4.153263158,4.228689474,4.276263158,4.787481308,0
1962-12-31,0.362709769,0,-3.50877193,-1.38349314,4.243587626,2.95359,3.13682,3.31143,3.455095,3.56846,3.657345,3.72767,3.924201488,3.119655,3.509265,3.79148,3.965855,4.068785,4.129655,4.166595,4.714758396,0
1963-01-31,0.36139894,0.197498354,3.636363636,-1.234750093,4.078323881,2.943609091,3.183440909,3.366436364,3.495677273,3.588918182,3.658495455,3.711990909,3.956432104,3.188622727,3.614104545,3.825136364,3.93045,3.988031818,4.021840909,4.042527273,4.662411213,0
1963-02-28,0.374138111,0.131406045,3.50877193,-1.688735564,4.222600042,2.835505556,3.137494444,3.367505556,3.532894444,3.651855556,3.7391,3.804738889,3.973123789,3.163655556,3.672327778,3.951555556,4.090105556,4.157111111,4.189638889,4.205688889,4.799234867,0
1963-03-31,0.372743535,0.098425197,-3.389830508,-1.787233835,4.298102984,2.901538095,3.185409524,3.393447619,3.547890476,3.664290476,3.753485714,3.823028571,3.989980221,3.232819048,3.668595238,3.927947619,4.08097619,4.17082381,4.22347619,4.25427619,4.809317589,0
1963-04-30,0.371359317,-0.098328417,0,-1.678048236,4.323755049,2.985919048,3.253380952,3.453485714,3.602357143,3.714309524,3.799909524,3.866561905,4.027414322,3.291166667,3.715885714,3.968933333,4.115742857,4.200833333,4.250538095,4.279833333,4.838366032,0
1963-05-31,0.732943664,0.098425197,3.50877193,-1.357173708,4.154795443,2.948240909,3.21305,3.424690909,3.574890909,3.680281818,3.755777273,3.811531818,4.007874489,3.212377273,3.702995455,3.960422727,4.074509091,4.122118182,4.141554545,4.149418182,4.771775723,0
